filename,original_category,cluster_id,functional_group,needs_review
ceramic_0000.png,ceramic,-1,mixed_ambiguous,True
ceramic_0001.png,ceramic,33,ceramic_ground,False
ceramic_0004.png,ceramic,8,wood,False
ceramic_0005.png,ceramic,22,ceramic_ground,False
ceramic_0006.png,ceramic,22,ceramic_ground,False
ceramic_0007.png,ceramic,22,ceramic_ground,False
ceramic_0008.png,ceramic,14,concrete_plaster,False
ceramic_0009.png,ceramic,-1,mixed_ambiguous,True
ceramic_0010.png,ceramic,-1,mixed_ambiguous,True
ceramic_0011.png,ceramic,11,ceramic_ground,False
ceramic_0012.png,ceramic,-1,mixed_ambiguous,True
ceramic_0013.png,ceramic,7,ceramic_ground,False
ceramic_0014.png,ceramic,-1,mixed_ambiguous,True
ceramic_0015.png,ceramic,8,wood,False
ceramic_0016.png,ceramic,8,wood,False
ceramic_0017.png,ceramic,33,ceramic_ground,False
ceramic_0018.png,ceramic,8,wood,False
ceramic_0019.png,ceramic,5,mixed_ambiguous,False
ceramic_0020.png,ceramic,35,metal,False
ceramic_0021.png,ceramic,0,mixed_ambiguous,False
ceramic_0022.png,ceramic,-1,mixed_ambiguous,True
ceramic_0023.png,ceramic,-1,mixed_ambiguous,True
ceramic_0024.png,ceramic,-1,mixed_ambiguous,True
ceramic_0025.png,ceramic,20,brick_terracotta,False
ceramic_0026.png,ceramic,7,ceramic_ground,False
ceramic_0027.png,ceramic,-1,mixed_ambiguous,True
ceramic_0028.png,ceramic,0,mixed_ambiguous,False
ceramic_0030.png,ceramic,22,ceramic_ground,False
ceramic_0031.png,ceramic,11,ceramic_ground,False
ceramic_0032.png,ceramic,7,ceramic_ground,False
ceramic_0033.png,ceramic,-1,mixed_ambiguous,True
ceramic_0034.png,ceramic,14,concrete_plaster,False
ceramic_0035.png,ceramic,5,mixed_ambiguous,False
ceramic_0036.png,ceramic,3,metal,False
ceramic_0037.png,ceramic,-1,mixed_ambiguous,True
ceramic_0038.png,ceramic,33,ceramic_ground,False
ceramic_0039.png,ceramic,-1,mixed_ambiguous,True
ceramic_0040.png,ceramic,11,ceramic_ground,False
ceramic_0041.png,ceramic,-1,mixed_ambiguous,True
ceramic_0042.png,ceramic,11,ceramic_ground,False
ceramic_0043.png,ceramic,16,ceramic_ground,False
ceramic_0044.png,ceramic,36,mixed_ambiguous,False
ceramic_0045.png,ceramic,16,ceramic_ground,False
ceramic_0046.png,ceramic,-1,mixed_ambiguous,True
ceramic_0047.png,ceramic,-1,mixed_ambiguous,True
ceramic_0048.png,ceramic,10,marble_smooth,False
ceramic_0049.png,ceramic,6,wood,False
ceramic_0050.png,ceramic,5,mixed_ambiguous,False
ceramic_0051.png,ceramic,11,ceramic_ground,False
ceramic_0052.png,ceramic,7,ceramic_ground,False
ceramic_0053.png,ceramic,-1,mixed_ambiguous,True
ceramic_0055.png,ceramic,10,marble_smooth,False
ceramic_0056.png,ceramic,-1,mixed_ambiguous,True
ceramic_0057.png,ceramic,35,metal,False
ceramic_0058.png,ceramic,0,mixed_ambiguous,False
ceramic_0059.png,ceramic,1,mixed_ambiguous,False
ceramic_0060.png,ceramic,16,ceramic_ground,False
ceramic_0061.png,ceramic,11,ceramic_ground,False
ceramic_0063.png,ceramic,5,mixed_ambiguous,False
ceramic_0064.png,ceramic,22,ceramic_ground,False
ceramic_0065.png,ceramic,-1,mixed_ambiguous,True
ceramic_0066.png,ceramic,16,ceramic_ground,False
ceramic_0067.png,ceramic,7,ceramic_ground,False
ceramic_0068.png,ceramic,-1,mixed_ambiguous,True
ceramic_0069.png,ceramic,22,ceramic_ground,False
ceramic_0070.png,ceramic,0,mixed_ambiguous,False
ceramic_0071.png,ceramic,-1,mixed_ambiguous,True
ceramic_0072.png,ceramic,21,brick_terracotta,False
ceramic_0073.png,ceramic,11,ceramic_ground,False
ceramic_0074.png,ceramic,5,mixed_ambiguous,False
ceramic_0075.png,ceramic,8,wood,False
ceramic_0077.png,ceramic,-1,mixed_ambiguous,True
ceramic_0078.png,ceramic,-1,mixed_ambiguous,True
ceramic_0079.png,ceramic,16,ceramic_ground,False
ceramic_0080.png,ceramic,21,brick_terracotta,False
ceramic_0081.png,ceramic,7,ceramic_ground,False
ceramic_0082.png,ceramic,0,mixed_ambiguous,False
ceramic_0083.png,ceramic,5,mixed_ambiguous,False
ceramic_0084.png,ceramic,8,wood,False
ceramic_0085.png,ceramic,2,stone_rough,False
ceramic_0087.png,ceramic,-1,mixed_ambiguous,True
ceramic_0088.png,ceramic,15,ceramic_ground,False
ceramic_0089.png,ceramic,5,mixed_ambiguous,False
ceramic_0091.png,ceramic,5,mixed_ambiguous,False
ceramic_0092.png,ceramic,16,ceramic_ground,False
ceramic_0093.png,ceramic,-1,mixed_ambiguous,True
ceramic_0094.png,ceramic,5,mixed_ambiguous,False
ceramic_0095.png,ceramic,-1,mixed_ambiguous,True
ceramic_0096.png,ceramic,2,stone_rough,False
ceramic_0097.png,ceramic,25,metal,False
ceramic_0098.png,ceramic,29,stone_rough,False
ceramic_0099.png,ceramic,15,ceramic_ground,False
ceramic_0100.png,ceramic,34,ceramic_ground,False
ceramic_0101.png,ceramic,1,mixed_ambiguous,False
ceramic_0102.png,ceramic,2,stone_rough,False
ceramic_0103.png,ceramic,11,ceramic_ground,False
ceramic_0104.png,ceramic,9,concrete_plaster,False
ceramic_0105.png,ceramic,22,ceramic_ground,False
ceramic_0106.png,ceramic,16,ceramic_ground,False
ceramic_0107.png,ceramic,-1,mixed_ambiguous,True
ceramic_0109.png,ceramic,33,ceramic_ground,False
ceramic_0110.png,ceramic,-1,mixed_ambiguous,True
ceramic_0111.png,ceramic,-1,mixed_ambiguous,True
ceramic_0112.png,ceramic,10,marble_smooth,False
ceramic_0113.png,ceramic,33,ceramic_ground,False
ceramic_0114.png,ceramic,34,ceramic_ground,False
ceramic_0115.png,ceramic,5,mixed_ambiguous,False
ceramic_0116.png,ceramic,-1,mixed_ambiguous,True
ceramic_0119.png,ceramic,6,wood,False
